0,
Precision,0.042868
Recall,0.33133
True Positives,55
False Positives,1228
False Negatives,111
  ,
0.05,
Precision,0.042868
Recall,0.33133
True Positives,55
False Positives,1228
False Negatives,111
  ,
0.1,
Precision,0.042868
Recall,0.33133
True Positives,55
False Positives,1228
False Negatives,111
  ,
0.15,
Precision,0.042868
Recall,0.33133
True Positives,55
False Positives,1228
False Negatives,111
  ,
0.2,
Precision,0.042868
Recall,0.33133
True Positives,55
False Positives,1228
False Negatives,111
  ,
0.25,
Precision,0.042868
Recall,0.33133
True Positives,55
False Positives,1228
False Negatives,111
  ,
0.3,
Precision,0.042868
Recall,0.33133
True Positives,55
False Positives,1228
False Negatives,111
  ,
0.35,
Precision,0.042868
Recall,0.33133
True Positives,55
False Positives,1228
False Negatives,111
  ,
0.4,
Precision,0.042868
Recall,0.33133
True Positives,55
False Positives,1228
False Negatives,111
  ,
0.45,
Precision,0.042868
Recall,0.33133
True Positives,55
False Positives,1228
False Negatives,111
  ,
0.5,
Precision,0.042868
Recall,0.33133
True Positives,55
False Positives,1228
False Negatives,111
  ,
0.55,
Precision,0.042868
Recall,0.33133
True Positives,55
False Positives,1228
False Negatives,111
  ,
0.6,
Precision,0.042868
Recall,0.33133
True Positives,55
False Positives,1228
False Negatives,111
  ,
0.65,
Precision,0.042868
Recall,0.33133
True Positives,55
False Positives,1228
False Negatives,111
  ,
0.7,
Precision,0.042868
Recall,0.33133
True Positives,55
False Positives,1228
False Negatives,111
  ,
0.75,
Precision,0.042868
Recall,0.33133
True Positives,55
False Positives,1228
False Negatives,111
  ,
0.8,
Precision,0.042868
Recall,0.33133
True Positives,55
False Positives,1228
False Negatives,111
  ,
0.85,
Precision,0.042868
Recall,0.33133
True Positives,55
False Positives,1228
False Negatives,111
  ,
0.9,
Precision,0.042868
Recall,0.33133
True Positives,55
False Positives,1228
False Negatives,111
  ,
